No.,,Selection,"Age, Weight",RP,Previous Odds,Win/EW,SP
6,233-33,"Farren Glory (25)
J: Jack Kennedy
T: G Elliott","9-y-o
11st 7lb",157Spotlight,"20/1
22/1
25/1",22/1,SP
12,"19-231
D","Guard Duty (47)
J: Ben Jones
T: Miss E C Lavelle","9-y-o
11st 1lb",158Spotlight,"28/1
25/1
28/1",25/1,SP
20,-542,"Beckett Rock (25)
J: Mike O'connor
T: H De Bromhead","7-y-o
10st 12lb",157Spotlight,"25/1
28/1
33/1",28/1,SP
2,7/13-6,"Ballyadam (26)
J: Patrick M O'brien
T: H De Bromhead","11-y-o
11st 11lb",158Spotlight,"28/1
25/1
28/1",33/1,SP
5,"7-66P4
C,D","Buddy One (25)
J: Jack Gilligan
T: P J Gilligan","9-y-o
11st 8lb",159Spotlight,"40/1
50/1
66/1",33/1,SP
13,2-63PF,"Chart Topper (25)
J: Brian Hayes
T: W P Mullins","7-y-o
11st",154Spotlight,"28/1
33/1
40/1",33/1,SP
15,350-F8,"Sony Bill (38)
J: Sean O'keeffe
T: W P Mullins","5-y-o
11st",151Spotlight,"28/1
40/1
33/1",40/1,SP
19,833495,"Franciscan Rock (48)
J: Josh Williamson
T: M F Morris","9-y-o
10st 12lb",159Spotlight,"50/1
66/1
50/1",40/1,SP
16,"11-156
C","Give It To Me Oj (75)
J: Caoilin Quinn
T: G & J Moore","5-y-o
10st 13lb",152Spotlight,"50/1
66/1
40/1",50/1,SP
24,0-12FU,"Hms Seahorse (184)
J: Eoin Staples
T: P Nolan","8-y-o
10st 11lb",153Spotlight,"40/1
50/1
66/1",50/1,SP
7,"-51184
D","Colonel Mustard (31)
J: John Shinnick
T: L Fowler","11-y-o
11st 7lb",158Spotlight,"50/1
66/1
80/1",66/1,SP
17,"-31980
D","Rambo T (25)
J: S Bowen
T: O Murphy","9-y-o
10st 13lb",156Spotlight,"80/1
100/1
80/1",100/1,SP
22,0-1284,"Minella Rescue (11)
J: G Sheehan
T: G Hanmer","8-y-o
10st 12lb",154Spotlight,"100/1
125/1
100/1",125/1,SP
18,"425-1P
D","Dargiannini (102)
J: Paul O'brien
T: Harry Derham","11-y-o
10st 13lb",154Spotlight,"100/1
125/1
150/1",125/1,SP
Non-runners,,,,,,,
25,-43412,"I Started A Joke - N/R (38)
J: Reserve 1
T: C Byrnes","7-y-o
10st 11lb",155Spotlight,"7/1
15/2
8/1",17/2,SP
26,"8-15U5
C,D","Intense Approach - N/R (11)
J: Reserve 2
T: J C Mcconnell","7-y-o
10st 10lb",136Spotlight,33/1,50/1,SP
,,,,,,,
No.,,Selection,"Age, Weight",RP,Previous Odds,Win/EW,SP
2,"-05F11
CD","Favori De Champdou (46)
J: Jack Kennedy
T: G Elliott","11-y-o
11st 6lb",173Spotlight,"15/8
7/4
15/8",7/4,SP
1,"111P-1
CD","Stumptown (340)
J: Keith Donoghue
T: G P Cromwell","9-y-o
11st 10lb",171Spotlight,"4/1
9/2
4/1",9/2,SP
3,"3P6315
CD","Final Orders (46)
J: Conor Stone-Walsh
T: G P Cromwell","10-y-o
10st 9lb",171Spotlight,"6/1
13/2
6/1",13/2,SP
9,0P-21P,"Desertmore House (73)
J: Ricky Doyle
T: M Brassil","11-y-o
10st 6lb",168Spotlight,"13/2
7/1
13/2",7/1,SP
4,"0-U631
C","Vanillier (35)
J: Sean Flanagan
T: G P Cromwell","11-y-o
10st 8lb",171Spotlight,"17/2
9/1
17/2",8/1,SP
6,"32569F
C","Pied Piper (48)
J: Sam Ewing
T: G Elliott","8-y-o
10st 8lb",168Spotlight,"11/1
10/1
9/1",10/1,SP
7,"/740-4
C","Fakir D'oudairies (35)
J: Darragh O'keeffe
T: E Bolger","11-y-o
10st 8lb",168Spotlight,"16/1
14/1
12/1",14/1,SP
13,-50272,"The Goffer (35)
J: Josh Williamson
T: G Elliott","9-y-o
10st 6lb",165Spotlight,14/1,16/1,SP
12,"20-779
CD","Latenightpass (46)
J: Miss Gina Andrews
T: T Ellis","13-y-o
10st 6lb",165Spotlight,"40/1
50/1
40/1",33/1,SP
5,08P-43,"Conflated (35)
J: Danny Gilligan
T: G Elliott","12-y-o
10st 8lb",170Spotlight,"40/1
33/1
40/1",33/1,SP
14,6P-770,"Famous Bridge (81)
J: Sean Quinlan
T: N G Richards","10-y-o
10st 6lb",162Spotlight,"50/1
66/1
80/1",66/1,SP
10,90-28P,"Horantzau D'airy (169)
J: Charlie Hammond
T: S Edmunds","9-y-o
10st 6lb",166Spotlight,"66/1
80/1
66/1",80/1,SP
8,28-P7P,"Velvet Elvis (48)
J: G Sheehan
T: J C Mcconnell","10-y-o
10st 6lb",166Spotlight,"66/1
80/1
100/1",80/1,SP
11,65P-8P,"Minella Crooner (18)
J: James Best
T: Mrs S J Humphrey","10-y-o
10st 6lb",155Spotlight,"125/1
150/1
200/1",150/1,SP
,,,,,,,
No.,,Selection,"Age, Weight",RP,Previous Odds,Win/EW,SP
8,"3-1231
C,D","Majborough (38)
J: Mark Walsh
T: W P Mullins","6-y-o
11st 10lb",183Spotlight,"5/6
4/5
5/6",10/11,SP
4,"11-11F
D","Il Etait Temps (53)
J: Paul Townend
T: W P Mullins","8-y-o
11st 10lb",180Spotlight,"10/3
3/1
11/4",3/1,SP
6,"143-13
CD","L'eau Du Sud (95)
J: Harry Skelton
T: D Skelton","8-y-o
11st 10lb",174Spotlight,"11/2
5/1
11/2",5/1,SP
9,"/124F-
C,D","Quilixios (364)
J: Darragh O'keeffe
T: H De Bromhead","9-y-o
11st 10lb",170Spotlight,"12/1
14/1
16/1",14/1,SP
5,"0-3112
D","Irish Panther (75)
J: Kieren Buckley
T: E & P Harty","9-y-o
11st 10lb",160Spotlight,"14/1
16/1
18/1",16/1,SP
3,"411434
D","Found A Fifty (11)
J: Jack Kennedy
T: G Elliott","9-y-o
11st 10lb",171Spotlight,"40/1
33/1
28/1",33/1,SP
10,"-12122
D","Saint Segal (32)
J: C Gethings
T: Mrs J Williams","8-y-o
11st 10lb",164Spotlight,"33/1
40/1
33/1",40/1,SP
2,"3-2P63
CD","Captain Guinness (17)
J: Jordan Gainford
T: H De Bromhead","11-y-o
11st 10lb",164Spotlight,"50/1
40/1
50/1",40/1,SP
7,"2F-U43
C,D","Libberty Hunter (32)
J: S Bowen
T: Mrs C Williams","10-y-o
11st 10lb",161Spotlight,"66/1
80/1",66/1,SP
1,"12-43P
D","Brookie (109)
J: Sam Twiston-Davies
T: A J Honeyball","9-y-o
11st 10lb",152Spotlight,"150/1
125/1
100/1",125/1,SP
,,,,,,,
No.,,Selection,"Age, Weight",RP,Previous Odds,Win/EW,SP
4,"8-1222
D","Be Aware (54)
J: Harry Skelton
T: D Skelton","7-y-o
11st 6lb",160Spotlight,"5/1
4/1
9/2",4/1,SP
8,"6-P056
CD","Jazzy Matty (52)
J: Danny Gilligan
T: C Collins","7-y-o
11st 3lb",157Spotlight,"13/2
6/1
13/2",7/1,SP
