Each Way Extra,,,,,,,
New,,,,,,,
Price Boost,,,,,,,
Lengthen Your Odds,,,,,,,
Place Markets,,,,,,,
Money Back,,,,,,,
Match Bets,,,,,,,
Betting Without,,,,,,,
Show overview for all runners,,,,,,,
EW: 1/4 Odds 2 Places,,,,,,,
No.,,Selection,"Age, Weight",RP,Previous Odds,Win/EW,SP
7,"112-11
CD","Wodhooh (73)
J: Jack Kennedy
T: G Elliott","6-y-o
11st 6lb",160Spotlight,"10/11
5/6
10/11",5/6,SP
3,"2-1321
D","Jade De Grugy (53)
J: Paul Townend
T: W P Mullins","7-y-o
11st 6lb",160Spotlight,"2/1
15/8
2/1",9/4,SP
2,"43-121
D","Feet Of A Dancer (47)
J: Sean O'keeffe
T: P Nolan","7-y-o
11st 6lb",152Spotlight,"17/2
8/1
17/2",8/1,SP
6,"5-6233
D","Take No Chances (55)
J: Harry Skelton
T: D Skelton","8-y-o
11st 6lb",153Spotlight,"12/1
14/1
12/1",14/1,SP
1,"P22132
D","Dream On Baby (47)
J: Donagh Meyler
T: E Mullins","6-y-o
11st 6lb",148Spotlight,"33/1
28/1",33/1,SP
4,"3-3373
D","Jetara (47)
J: Sam Ewing
T: Mrs J Harrington","8-y-o
11st 6lb",156Spotlight,"40/1
33/1
40/1",33/1,SP
5,"F-3143
D","Sunset Marquesa (54)
J: Brendan Powell
T: J Tizzard","7-y-o
11st 6lb",142Spotlight,"150/1
125/1
150/1",125/1,SP
15:20 Cheltenham (2m 7f 213y)10 RunnersGoing: Good,,,,,,,
Paddy Power Stayers' Hurdle (Grade 1) (Gbb Race) 1,,,,,,,
"Jumps,",,,,,,,
Watch race,,,,,,,
Bet In-Running,,,,,,,
Verdict,,,,,,,
The very lightly raced 6yo HONESTY POLICY is taken to deliver on the considerable promise he showed last year. He lost out only narrowly to impressive Albert Bartlett winner Jasmin De Vaux at Punchestown last April and his reappearance third in the Grade 1 Long Walk at Ascot in December also bodes extremely well for his prospects today. Ma Shantou continued his highly progressive ways when powering clear in the…WWWThe very lightly raced 6yo HONESTY POLICY is taken to deliver on the considerable promise he showed last year. He lost out only narrowly to impressive Albert Bartlett winner Jasmin De Vaux at Punchestown last April and his reappearance third in the Grade 1 Long Walk at Ascot in December also bodes extremely well for his prospects today. Ma Shantou continued his highly progressive ways when powering clear in the Gra…,,,,,,,
Show More,,,,,,,
Best Odds Guaranteed,,,,,,,
Available! Learn how to opt in here.,,,,,,,
Bambino Fever To Finish In The First Two - Was 1/2,,,,,,,
EVS,,,,,,,
Racecard,,,,,,,
Each Way Extra,,,,,,,
New,,,,,,,
Price Boost,,,,,,,
Lengthen Your Odds,,,,,,,
Place Markets,,,,,,,
Money Back,,,,,,,
Match Bets,,,,,,,
Betting Without,,,,,,,
Odds v Evens,,,,,,,
Show overview for all runners,,,,,,,
EW: 1/4 Odds 3 Places,,,,,,,
No.,,Selection,"Age, Weight",RP,Previous Odds,Win/EW,SP
9,"222-11
C","Kabral Du Mathan (70)
J: Harry Skelton
T: D Skelton","6-y-o
11st 10lb",159Spotlight,"4/1
7/2
10/3",7/2,SP
11,"22-111
CD","Teahupoo (74)
J: Jack Kennedy
T: G Elliott","9-y-o
11st 10lb",172Spotlight,"7/2
10/3
7/2",4/1,SP
10,"7-1011
CD","Ma Shantou (47)
J: H Cobden
T: Miss E C Lavelle","7-y-o
11st 10lb",159Spotlight,"11/2
6/1
11/2",5/1,SP
8,"-21112
C,D","Impose Toi (47)
J: N De Boinville
T: N J Henderson","8-y-o
11st 10lb",163Spotlight,"15/2
7/1
15/2",7/1,SP
1,"15-223
C","Ballyburn (74)
J: Paul Townend
T: W P Mullins","8-y-o
11st 10lb",168Spotlight,"7/1
13/2
7/1",15/2,SP
2,"/221-2
CD","Bob Olinger (74)
J: Darragh O'keeffe
T: H De Bromhead","11-y-o
11st 10lb",168Spotlight,"15/2
8/1
15/2",8/1,SP
7,111-23,"Honesty Policy (82)
J: Mark Walsh
T: G Elliott","6-y-o
11st 10lb",162Spotlight,"15/2
9/1
17/2",9/1,SP
3,"-23453
CD","Doddiethegreat (47)
J: James Bowen
T: N J Henderson","10-y-o
11st 10lb",152Spotlight,"33/1
28/1
33/1",40/1,SP
6,"UP-641
D","Home By The Lee (49)
J: J J Slevin
T: J P O'brien","11-y-o
11st 10lb",166Spotlight,"33/1
40/1
33/1",40/1,SP
5,"8-7145
D","Hewick (104)
J: Paddy Hanlon
T: J J Hanlon","11-y-o
11st 10lb",161Spotlight,"33/1
40/1
50/1",66/1,SP
Non-runners,,,,,,,
