No.,,Selection,"Age, Weight",RP,Previous Odds,Win/EW,SP
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Horse,Previous Form,Age,Price,Trainer,Jockey,
,Jazzy Matty,3P122,6,15-2,Cian Collins,Danny Gilligan,
,Unexpected Party,-15549,9,12-1,Dan Skelton,Harry Skelton,
,Maskada,4F10,7,22-1,Henry De Bromhead,Darragh O’Keeffe,
,Global Citizen,92023,10,28-1,Ben Pauling,Keilan Woods,
,Sky Pirate,25112,8,14-1,Jonjo O’Neill,Nick Scholfield,
,Chosen Mate,6-0341,7,7-2F,Gordon Elliott,Davy Russell,
,Croco Bay,2-9835,12,66-1,Ben Case,Kielan Woods,
,Le Prezien,8P-238,7,15-2,Paul Nicholls,Barry Geraghty,
,Rock The World,7-2080,9,10-1,Jessica Harrington,Robbie Power,
,Solar Impulse,263-3P,6,28-1,Paul Nicholls,Sam Twiston-Davies,
,Next Sensation,45-604,8,16-1,Michael Scudamore,Tom Scudamore,
